Data;Regional;UC;Familias1;Produtos;Producao;Unidade;V.Total;;;
29/09/2016;Madeira;RDS do Juma;1;Farinha;1350;Kg;3840;;;
;Madeira;RDS do Juma;1;Castanha;150;Kg;300;;;
29/09/2016;Madeira;RDS do Juma;1;Farinha;1000;Kg;2880;;;
29/09/2016;Madeira;RDS do Juma;1;Farinha;900;Kg;2720;;;
;Madeira;RDS do Juma;1;Castanha;120;Kg;250;;;
27/09/2016;Madeira;RDS do Juma;1;Farinha;600;Kg;1500;;;
;Madeira;RDS do Juma;1;Castanha;100;Kg;0;;;
27/09/2016;Madeira;RDS do Juma;1;Castanha;200;Kg;400;;;
;Madeira;RDS do Juma;1;Farinha;750;Kg;350;;;
;Madeira;RDS do Juma;1;Oleos;49;Kg;1960;;;
;Madeira;RDS do Juma;1;Castanha;350;Kg;1664;;;
;Madeira;RDS do Juma;1;Castanha;320;Kg;1500;;;
;Madeira;RDS do Juma;1;Oleos;80;Kg;1875;;;
;Madeira;RDS do Juma;1;Farinha;1000;Kg;2000;;;
;Madeira;RDS do Juma;1;Acai;1200;Kg;1080;;;
;Madeira;RDS do Juma;1;Castanha;660;Kg;3000;;;
;Madeira;RDS do Juma;1;Oleos;100;Kg;2250;;;
;Madeira;RDS do Juma;1;Farinha;1000;Kg;2000;;;
;Madeira;RDS do Juma;1;Acai;1200;Kg;900;;;
27/09/2016;Madeira;RDS do Juma;1;Farinha;750;Kg;1500;;;
;Madeira;RDS do Juma;1;Castanha;50;Kg;0;;;
12/10/2016;Madeira;RDS do Juma;1;Farinha;750;Kg;1800;;;
;Madeira;RDS do Juma;1;Castanha;20;Kg;0;;;
03/12/2016;Madeira;RDS do Juma;1;Farinha;1500;Kg;4320;;;
;Madeira;RDS do Juma;1;Castanha;400;Kg;700;;;
03/12/2016;Madeira;RDS do Juma;1;Farinha;1500;Kg;3600;;;
30/11/2016;Madeira;RDS do Juma;1;Farinha;2000;Kg;6300;;;
03/12/2016;Madeira;RDS do Juma;1;Farinha;2250;Kg;7200;;;
;Madeira;RDS do Juma;1;Castanha;100;Kg;180;;;
03/12/2016;Madeira;RDS do Juma;1;Farinha;3000;Kg;7500;;;
;Madeira;RDS do Juma;1;Castanha;420;Kg;1000;;;
;Madeira;RDS do Juma;1;Oleos;4;Kg;75;;;
07/10/2016;Madeira;RDS do Juma;1;Castanha;500;Kg;1350;;;
;Madeira;RDS do Juma;1;Farinha;500;Kg;840;;;
;Madeira;RDS do Juma;1;Oleos;40;Kg;950;;;
07/10/2016;Madeira;RDS do Juma;1;Farinha;1250;Kg;2775;;;
;Madeira;RDS do Juma;1;Castanha;400;Kg;760;;;
07/10/2016;Madeira;RDS do Juma;1;Farinha;500;Kg;2000;;;
